标记	英文	音标	中文
	engage	in5^eidV	vt.使忙碌, 雇佣, 预定, 使从事于, 使参加vi.答应, 从事, 交战, [机]接合, 啮合
	engagement	in5^eidVmEnt	n.约会, 婚约, 诺言, 交战, 接站, 雇拥, [机]接合
	engine	5endVin	n.发动机, 机车, 火车头
	engineer	7endVi5niE	n.工程师, 技师, 火车司机, 轮机员, 工兵
	engineering	7endVi5niEriN	n.工程(学)
	enhance	in5hB:ns	vt.提高, 增强v.提高
	enjoy	in5dVCi	vt.享受...的乐趣, 欣赏, 喜爱v.满意
	enlarge	in5lB:dV	v.扩大, 放大
	enlighten	in5laitn	vt.启发, 启蒙, 教导, 授予...知识, 开导, <古>照耀
	enormous	i5nC:mEs	adj.巨大的, 庞大的, <古>极恶的, 凶暴的
	enough	i5nQf	adj.足够的, 充足的, 只够做...的n.充足, 足够, 很多adv.足够地, 充分地int.够了!
	enquire	in5kwaiE	v.询问
	enquiry	in5kwaiEri	n.询问
	enrich	in5ritF	vt.使富足, 使肥沃, 装饰, 加料于, 浓缩
	enrol	in5rEul	vt.登记, 入学vi.参军, 注册
	enroll	In5rEJl	v.[亦作enrol] 登记, 招收, 使入伍(或入会、入学等), 参加, 成为成员
	ensure	in5FuE	vt.保证, 担保, 使安全, 保证得到v.确保, 确保, 保证
	entail	in5teil	vt.使必需, 使蒙受, 使承担, 遗传给n.[建]限定继承权
	enter	5entE	vt.进入, 加入, 参加, 登录, 开始vi.进去, [戏]登场, 参加n.输入, [计]回车
	enterprise	5entEpraiz	n.企业, 事业, 计划, 事业心, 进取心, 干事业
	entertain	7entE5tein	vt.娱乐, 招待, 接受, 怀抱vi.款待
	entertainment	entE5teinmEnt	n.款待, 娱乐, 娱乐表演
	enthusiasm	in5Wju:ziAzEm	n.狂热, 热心, 积极性, 激发热情的事物
	enthusiastic	in7Wju:zi5Astik	adj.热心的, 热情的
	entire	in5taiE	adj.全部的, 完整的, 整个
	entitle	in5taitl	vt.给...权利(或资格), 给...题名, 给...称号v.授权, 授权
	entity	5entiti	n.实体
	entrance	in5trB:ns	n.入口, 门口, 进入
	entrepreneur	7CntrEprE5nE:	n.<法>企业家, 主办人
	entry	5entri	n.登录, 条目, 进入, 入口, [商]报关手续, [律]对土地的侵占, 对房屋的侵入
	envelope	5envilEup	n.信封, 封套, 封袋, [天]包层, [数]包迹, [生]包膜
	environment	in5vaiErEnmEnt	n.环境, 外界
	envisage	in5vizidV, en-	v.正视
	envy	5envi	n.vt.羡慕, 嫉妒
	epidemic	7epi5demik	adj.流行的, 传染的, 流行性n.时疫, 疫疾流行, (风尚等的)流行, 流行病
	episode	5episEud	n.一段情节, [音]插曲, 插话, 有趣的事件
	epoch	5i:pCk, 5epCk	n.新纪元, 时代, 时期, 时间上的一点, [地质]世
	equal	5i:kwEl	adj.相等的, 均等的, 胜任的, 平静的, 合适的, 不相上下的n.相等的事物(或数量), 对手, 匹敌, 同辈vt.等于, 比得上
	equality	i(:)5kwCliti	n.等同性, 同等, 平等, 相等, 等式
	equation	i5kweiFEn	n.相等, 平衡, 综合体, 因素, 方程式, 等式
	equator	i5kweitE	n.赤道, 赤道似的圈.圆
	equip	i5kwip	vt.装备, 配备, 训练, 准备行装
	equipment	i5kwipmEnt	n.装备, 设备, 器材, 装置, 铁道车辆, (一企业除房地产以外的)固定资产, 才能
	equivalent	i5kwivElEnt	adj.相等的, 相当的, 同意义的n.等价物, 相等物
	era	5iErE	n.时代, 纪元, 时期, [地]代
	erase	i5reiz	vt.抹去, 擦掉, 消磁, <俚>杀死
	erect	i5rekt	adj.直立的, 竖立的, 笔直的vt.盖, 使竖立, 使直立, 树立, 建立vi.[生理]勃起
	erosion	i5rEuVEn	n.腐蚀, 侵蚀
	erroneous	i5rEunjEs	adj.错误的, 不正确的
	error	5erE	n.错误, 过失, 误差
	erupt	i5rQpt	vt.喷出vi.爆发
	escalate	5eskEleit	vi.逐步升高, 逐步增强vt.使逐步上升
	escape	is5keip	n.逃, 逃亡, 溢出设备, 出口, 逃跑, [植]野生vi.逃脱, 避开, 溜走vt.逃避, 避免, 被忘掉
	escort	is5kC:t	n.护卫(队), 护送, 陪同(人员), 护卫队v.护卫, 护送, 陪同
	especially	is5peFEli	adv.特别, 尤其
	essay	5esei, 5esi	vt.企图, 尝试n.企图, 散文, 小品文, 随笔, 短文, 评论
	essence	5esns	n.基本, [哲]本质, 香精
	essential	i5senFEl	adj.本质的, 实质的, 基本的, 提炼的, 精华的n.本质, 实质, 要素, 要点
	establish	is5tAbliF	vt.建立, 设立, 安置, 使定居, 使人民接受, 确定v.建立
	establishment	is5tAbliFmEnt	n.确立, 制定, 设施, 公司, 军事组织
	estate	i5steit	n.状态, 不动产, 时期, 阶层, 财产
	esteem	is5ti:m	vt.把...看作, 尊敬, 尊重, 认为n.尊敬, 尊重
	esthetic	i:s5Wetik	adj.感觉的
	estimate	5estimeit	v.估计, 估价, 评估n.估计, 估价, 评估
	eternal	i(:)5tE:nl	adj.永恒的, 永远的, 不灭的, 没完没了的
	ethnic	5eWnik	adj.人种的, 种族的, 异教徒的
	evacuate	i5vAkjueit	v.疏散, 撤出, 排泄
	evade	i5veid	v.规避, 逃避, 躲避
	evaluate	i5vAljueit	vt.评价, 估计, 求...的值v.评价
	evaporate	i5vApEreit	v.(使)蒸发, 消失
	eve	i:v	n.[诗]黄昏, 前夕, 前日
	even	5i:vEn	adj.平的, 平滑的, 偶数的, 一致的, 平静的, 恰好的, 平均的, 连贯的adv.[加强语气]甚至(...也), 连...都, 即使, 恰好, 正当vt.使平坦, 使相等vi.变平, 相等n.偶数, 偶校验
	evening	5i:vniN	n.傍晚, 晚间, 后期, (联欢性的)晚会
	event	i5vent	n.事件, 事变, 结果, 活动, 精力, 竞赛
	eventually	I5ventjJElI	adv.最后, 终于
	ever	5evE	adv.曾经, 永远, 不断地, 在任何时候, 究竟
	every	5evri	adj.每一的, 每个的, 全部的, 每隔...的
	everybody	5evribCdi, 5evribEdi	int.每个人, 人人
	everyday	5evridei	adj.每天的, 日常的, 平常的, 平凡的
	everyone	5evriwQn	pron.每个人, 人人
	everything	5evriWiN	pron.每件事物, 万事
	everywhere	5evrihwZE	adv.各处, 到处
	evidence	5evidEns	n.明显, 显著, 明白, 迹象, 根据, [物]证据, 证物
	evident	5evidEnt	adj.明显的, 显然的
	evil	5i:vl	adj.邪恶的, 带来麻烦的, 不幸的, 有害的, 诽谤的n.邪恶, 不幸, 罪恶
	evoke	i5vEuk	vt.唤起, 引起, 博得
	evolution	7i:vE5lu:FEn, 7evE-	n.进展, 发展, 演变, 进化
	evolve	i5vClv	v.(使)发展, (使)进展, (使)进化
	exact	i^5zAkt	adj.精确的, 准确的, 原样的, 精密的, 严格vt.强求, 急需, 要求
	exaggerate	i^5zAdVEreit	v.夸大, 夸张
	exam	i^5zAm, e^-	n.考试, 测验
	examination	i^7zAmi5neiFEn	n.考试, 检查, 细查
	examine	i^5zAmin	v.检查, 调查, 考试
	example	i^5zB:mpl, i^5zAm-	n.例子, 实例, 例题, 范例, 榜样, 鉴戒, 实例
	exceed	ik5si:d	vt.超越, 胜过vi.超过其他
	exceedingly	Ik5si:dINlI	adv.非常地, 极度地
	excel	ik5sel	v.优秀, 胜过他人
	excellent	5eksElEnt	adj.卓越的, 极好的
	except	ik5sept	vt.除, 把...除外, 反对, 不计vi.反对prep.除了...之外, 若不是, 除非conj.只是, 要不是
	exception	ik5sepFEn	n.除外, 例外, 反对, 异议
	exceptional	ik5sepFEnl	adj.例外的, 异常的
	excerpt	5eksE:pt	n.vt.摘录, 引用
	excess	ik5ses, 5ekses	n.过度, 剩于, 无节制, 超过, 超额adj.过度的, 额外的
	excessive	ik5sesiv	adj.过多的, 过分的, 额外
	exchange	iks5tFeindV	vt.交换, 调换, 兑换, 交流, 交易n.交换, 调换, 兑换, 交流, 交易
	excite	ik5sait	vt.刺激, 使兴奋, 使激动vi.<口>兴奋, 激动
	excitement	Ik5saItmEnt	n.刺激, 兴奋, 激动, 搔动
	exciting	ik5saitiN	adj.令人兴奋的, 使人激动的
	exclaim	iks5kleim	v.呼喊, 惊叫, 大声叫
	exclude	iks5klu:d	vt.拒绝接纳, 把...排除在外, 排斥
	exclusive	iks5klu:siv	adj.排外的, 孤高的, 唯我独尊的, 独占的, 唯一的, 高级的
	excursion	iks5kE:FEn	n.远足, 游览, 短程旅行, 远足队, 离题, [物]偏移, 漂移
	excuse	iks5kju:z	vt.原谅, 申辩, 做为...的托辞, 为...免去n.饶恕, 致歉, 理由, 口实, 借口, 清借条, 免去
	execute	5eksikju:t	vt.执行, 实行, 完成, 处死, 制成, [律]经签名盖章等手续使(证书)生效
	executive	i^5zekjutiv	adj.实行的, 执行的, 行政的n.执行者, 经理主管人员
	exemplify	i^5zemplifai	vt.例证, 例示, 作为...例子
	exempt	i^5zempt	v.免除adj.被免除的
	exercise	5eksEsaiz	n.练习, 习题, 训练, 锻炼, 演习v.训练, 锻炼vt.行使, 使担扰
	exert	i^5zE:t	vt.尽(力), 施加(压力等), 努力v.发挥, 竭尽全力, 尽
	exhaust	i^5zC:st	vt.用尽, 耗尽, 抽完, 使精疲力尽vi.排气n.排气, 排气装置adj.用不完的, 不会枯竭的
	exhibit	i^5zibit	vt.展出, 陈列n.展览品, 陈列品, 展品v.展示
	exhibition	7eksi5biFEn	n.表现, 展览会, 展览品, 显示
	exile	5eksail, 5e^z-	n.放逐, 充军, 流放, 流犯, 被放逐者vt.放逐, 流放, 使背井离乡
	exist	i^5zist	vi.存在, 生存, 生活, 继续存在
	existence	i^5zistEns	n.存在, 实在, 生活, 存在物, 实在物
	exit	5eksit, -zit	n.出口, 太平门, 退场, 去世vi.退出, 脱离, 去世[计]  离开当前命令行外壳
	exotic	i^5zCtik	adj.异国情调的, 外来的, 奇异的
	expand	iks5pAnd	vt.使膨胀, 详述, 扩张vi.张开, 发展
	expansion	iks5pAnFEn	n.扩充, 开展, 膨胀, 扩张物, 辽阔, 浩瀚
	expect	iks5pekt	vt.期待, 预期, 盼望, 指望, <口>(料)想, 认为
	expectation	7ekspek5teiFEn	n.期待, 预料, 指望, 展望, [数]期望(值)
	expedition	7ekspi5diFEn	n.远征, 探险队, 迅速, 派遣
	expel	iks5pel	v.驱逐, 开除, 排出, 发射
	expend	iks5pend	vt.花费, 消耗, 支出, [海]把(暂时不用的绳)绕在杆上
	expenditure	iks5penditFE, eks-	n.支出, 花费
	expense	Ik5spens	n.费用, 代价, 损失, 开支, 费钱之物
	expensive	iks5pensiv	adj.花费的, 昂贵的
	experience	iks5piEriEns	n.vt.经验, 体验, 经历, 阅历
	experiment	iks5perimEnt	n.实验, 试验vi.进行实验, 做试验
	experimental	eks7peri5mentl	adj.实验的, 根据实验的
	expert	5ekspE:t	n.专家, 行家, [军](特等)射手adj.老练的, 内行的, 专门的vt.在...中当行家, 当专家
	expertise	7ekspE5ti:z	n.专家的意见, 专门技术
	expire	iks5paiE, eks-	v.期满, 终止, 呼气, 断气, 届满
	explain	iks5plein	v.解释, 说明
	explanation	7eksplE5neiFEn	n.解释, 解说, 说明, 辩解, 互相讲明
	explicit	iks5plisit	adj.外在的, 清楚的, 直率的, (租金等)直接付款的
	explode	iks5plEud	vt.使爆炸vi.爆炸, 爆发, 破除, 推翻, 激发
	exploit	iks5plCit	vt.开拓, 开发, 开采, 剥削, 用以自肥v.使用
	explore	iks5plC:	v.探险, 探测, 探究
	explosion	iks5plEuVEn	n.爆发, 发出, 爆炸, [矿]煤气爆炸
	explosive	iks5plEusiv	adj.爆炸(性)的, 爆发(性)的, 暴露n.爆炸物, 炸药
	export	5ekspC:t	vt.输出n.出口货, 输出, 出口, 出口商品v.出口
	expose	iks5pEuz	vt.使暴露, 受到, 使曝光v.揭露
	exposure	iks5pEuVE	n.暴露, 揭露, 暴光, 揭发, 揭露, 位向, 方向, 陈列
	express	iks5pres	adj.急速的, 特殊的, 明确的n.快车, 快递, 专使vt.表达, 表示adv.乘快车, 以快递方式
	expression	iks5preFEn	n.表达, 表情, 脸色, 声调, 腔调, 榨出, 语法, 措辞n.[数] 式, 表达式, 符号
	exquisite	5ekskwizit	adj.优美的, 高雅的, 精致的, 剧烈的, 异常的, 细腻的, 敏锐的
	extend	iks5tend	v.扩充, 延伸, 伸展, 扩大[军]使疏开, 给予, 提供, 演化出的全文, <英>[律]对(地产等)估价
	extension	iks5tenFEn	n.延长, 扩充, 范围n.扩展名adj.[逻]外延的, 客观现实的
	extensive	iks5tensiv	adj.广大的, 广阔的, 广泛的
	extent	iks5tent	n.广度, 宽度, 长度, 范围, 程度, 区域, [律]<英>扣押, <美>临时所有权令
	exterior	eks5tiEriE	adj.外部的, 外在的, 表面的, 外交的, [建](适合)外用的n.外部, 表面, 外型
	external	eks5tE:nl	adj.外部的, 客观的, [医]外用的, 外国的, 表面的n.外部, 外面
	extinct	iks5tiNkt	adj.熄灭的, 灭绝的, 耗尽的vt.<古>使熄灭
	extinguish	iks5tiN^wiF	vt.熄灭, 消灭, 压制, 使黯然失色, 偿清
	extra	5ekstrE	adj.额外的, 不包括在价目内的, 特大的, 特佳的adv.特别地, 非常, 另外n.额外的人(或物), (报纸)号外, 上等产品, (电影)临时演员
	extract	iks5trAkt	n.精, 汁, 榨出物, 摘录, 选粹vt.拔出, 榨取, 开方, 求根, 摘录, 析取, 吸取
	extraordinary	iks5trC:dnri, iks5trC:dinEri	adj.非常的, 特别的, 非凡的, 特派的
	extravagant	iks5trAvE^Ent	adj.奢侈的, 浪费的, 过分的, 放纵的
	extreme	iks5tri:m	adj.尽头的, 极端的, 极度的, 偏激的, 最后的n.极端, 极端的事物
	eye	ai	n.眼睛, 视力, 眼光, 观点, 见解, 眼状物, 风吹来的方向, [气]风眼vt.看, 注视, 在...上打眼
	eyebrow	5aibrau	n.眉毛
	eyesight	5aIsaIt	n.视力, 目力
	fable	5feibl	n.寓言, 神话, 谎言vi.讲故事, 编寓言, 煞有其事地讲述
	fabric	5fAbrik	n.织品, 织物, 布, 结构, 建筑物, 构造
	fabricate	5fAbrikeit	vt.制作, 构成, 捏造, 伪造, 虚构
	fabulous	5fAbjulEs	adj.寓言中的, 寓言般的, 神话般的, 传统上的, 惊人的, 难以置信的
	face	feis	n.脸, 面容, 表情, 威信, 正面, 地形, 外观vt.面对, 面向, 面临, 承认, 抹盖vi.朝, 向
	facilitate	fE5siliteit	vt.（不以人作主语的）使容易, 使便利, 推动, 帮助, 使容易, 促进
	facility	fE5siliti	n.容易, 简易, 灵巧, 熟练, 便利, 敏捷, 设备, 工具
	fact	fAkt	n.事实, 实际, 实情, 真相, (犯罪)行为, 论据
	factor	5fAktE	n.因素, 要素, 因数, 代理人
	factory	5fAktEri	n.工厂, 制造厂, 商住花园外的代理
	faculty	5fAkElti	n.才能, 本领, 能力, 全体教员, (大学的)系, 科, (授予的)权力
	fade	feid	vi.(声音等)减弱下去, 褪色, 消失, 枯萎, 凋谢vt.使褪色n.淡入, 淡出adj.乏味的, 平淡的
	fail	feil	vi.失败, 不及格, 忘记vt.使失望, 舍弃, 辜负, 不及格n.不及格, 不及格者
	failure	5feiljE	n.失败, 失败者, 缺乏, 失灵, 故障, 破产, 疏忽, <美>不及格
	faint	feint	n.昏晕, 昏倒adj.虚落地, 衰弱的, 软弱的, 无力的, 微弱的, 暗淡的, 模糊的vi.昏晕, 昏倒, 变得微弱, 变得没气力
	fair	fZE	adj.美丽的, 女性的, (肤色)白皙的, (头发)金黄的, 干净的, 公平的, (天气)晴朗的adv.公平地, 公正地, 直接地, 清楚地n.美好的事物, 美人, 展览会, 市集vi.转晴
	fairly	5fZEli	adv.公正地, 正当的, 公平对待某人, 公平地, 相当地, 还算, 清楚地
	fairy	5fZEri	n.仙女, 精灵, <美俚>漂亮姑娘adj.仙女的
	faith	feiW	n.信任, 信念, 宗教信仰, 忠实, 保证, 诺言, 约定
	faithful	5feiWful	adj.守信的, 忠实的, 详确的, 可靠的n.信徒
	fake	feik	n.假货, 欺骗adj.假的vt.伪造, 赝造, 捏造, 假造, 仿造vi.伪装
	fall	fC:l	n.秋天, 落下, 瀑布, 降低, 落差, 采伐量, 堕落, 下降vi.倒下, 落下, 来临, 失守, 变成, 垮台, 下跌, 阵亡vt.<美><英方>击倒, 砍倒(树木)adj.秋天的
	false	fC:ls	adj.错误的, 虚伪的, 假的, 无信义的, 伪造的, 人工的, 不老实的adv.欺诈地
	fame	feim	n.名声, 名望, 传说, <古>传闻vt.(常用被动语态)使闻名, 使有名望, 盛传
	familiar	fE5miljE	adj.熟悉的, 常见的, 听惯的, 亲近的, 随便的n.密友, 熟客, 常客
	family	5fAmili	n.家庭, 家族, 家属, 亲属, 子女, 僚属adj.家庭的, 家族的
	famine	5fAmin	n.饥荒, <古>饥饿, 严重的缺乏
	famous	5feimEs	adj.著名的, 出名的, <口>极好的, 令人满意的
	fan	fAn	n.扇子, 鼓风机, 风扇, 迷, 狂热者, 爱好者vt.煽动, 刺激, 扇, 吹拂vi.飘动, 成扇形散开
	fancy	5fAnsi	adj.奇特的, 异样的vt.想象, 设想, 认为, 爱好, 自负n.爱好, 迷恋, 想象力
	fantastic	fAn5tAstik	adj.幻想的, 奇异的, 稀奇古怪的, 荒谬的, 空想的
	fantasy	5fAntEsi, 5fAntEzi	n.幻想, 白日梦
	far	fB:	adj.(常用于书面语)远的, 久远的, 遥远的adv.(表示空间或时间上的距离)远, 很远, 遥远地, 久远地, 甚远地, 很, 很晚地n.远处, 远方
	fare	fZE	n.费用, 旅客, 食物vi.遭遇, 进展, 进步, 经营, 过活
	farewell	5fZE5wel	n.辞别, 再见, 再会int.再会, 别了!(常含有永别或不容易再见面的意思)
	farm	fB:m	n.农场, 农庄, 农田vt.耕种vi.种田, 务农, 经营农场, 从事畜牧
	farmer	5fB:mE	n.农夫, 百姓, 农民, 农场主, 承包主, 牧场主, 畜牧者
	farther	5fB:TE	adj.更远的, 进一步的adv.更远地, 再往前地, 此外, far 的比较级
	fascinate	5fAsineit	vt.使着迷, 使神魂颠倒vi.入迷, 极度迷人的
	fashion	5fAFEn	n.样子, 方式, 流行, 风尚, 时样vt.形成, 造, 作, 把...塑造成, 使适应, 使适合, 改革, 改变
	fashionable	5fAFEnEbl	adj.流行的, 时髦的
	fast	fB:st	adj.紧的, 牢的, 忠实的, 快速的, 耐久的, 紧的adv.牢固地, 很快地, 紧紧地, 彻底地n.禁食, 绝食, 斋戒vi.绝食, 斋戒
	fasten	5fB:sn	vt.扎牢, 扣住, 闩住, 拴紧, 使固定, 系, 集中于, 强加于vi.扣紧, 抓住
	fat	fAt	n.脂肪, 肥肉adj.肥大的, 丰满的, 肥的, 胖的, 油腻的n.文件分配表vt.养肥, 在...中加入脂肪vi.长肥
	fatal	5feitl	adj.致命的, 重大的, 命运注定的, 不幸的, 致命的, 毁灭性的
	fate	feit	n.天数, 命运, 运气vt.注定, 送命
	father	5fB:TE	n.父亲, 岳父, 公(丈夫的父亲), 祖先, 前辈, 长辈, 神父, 创始者vt.当...的父亲, 保护, 创立, 治理, 发明, 培养
	fatigue	fE5ti:^	n.疲乏, 疲劳, 累活, [军]杂役vt.使疲劳, 使心智衰弱vi.疲劳
	fault	fC:lt	n.过错, 缺点, 故障, 毛病vt.挑剔vi.弄错
	faulty	5fC:lti	adj.有过失的, 有缺点的, 不完美的, 不完善的
	favor	5feivE	n.好感, 宠爱, 关切, 欢心, 好意, 喜爱vt.支持, 赞成, 照顾, 促成, 象, 喜欢, 证实, 赐予
	favorable	5feiErEbl	adj.赞成的, 有利的, 赞许的, 良好的, 讨人喜欢的, 起促进作用的
	favorite	5feivErit	n.特别喜欢的人(或物), 喜欢的事物, 亲信, 心腹, 幸运儿adj.喜爱的, 宠爱的, 中意的
	favour	5feivE	n.亲切, 宠爱
	favourable	5feiErEbl	adj.赞成的, 称许的, 有利的, 顺利的n.有利
	favourite	5feivErit	adj.特别喜爱的, 中意的n.特别喜爱的(或物)
	fax	fAks	n.vt.传真
	fear	fiE	n.恐怖, 害怕, 担心, 敬畏v.害怕, 畏惧, 为...担心, 敬畏(神等)
	fearful	5fiEful	adj.可怕的, 吓人的, 恐怕的, 严重的
	feasible	5fi:zEbl	adj.可行的, 切实可行的
	feast	fi:st	n.节日, 盛宴, 筵席, 宴会, 酒席vt.盛宴, 款待, 享乐, 请客vi.参加宴会, 享受
	feat	fi:t	n.技艺, 功绩, 武艺, 壮举, 技艺表演adj.漂亮的, 合适的
	feather	5feTE	n.翎毛, 轻的东西, 羽毛vi.长羽毛vt.用羽毛装饰, 射掉(飞禽)的羽毛
	feature	5fi:tFE	n.面貌的一部分(眼,口,鼻等)特征, 容貌, 特色, 特写vt.是...的特色, 特写, 放映vi.起重要作用
	February	5februEri	n.二月(略作Feb)
	federal	5fedErEl	adj.联邦的, 联合的, 联邦制的, 同盟的n.(南北战争时期)北部联邦同盟盟员北京连邦软件产业发展公司，国内主要的正版软件经销商
	federation	7fedE5reiFEn	n.同盟, 联邦, 联合, 联盟
	fee	fi:	n.费(会费、学费等), 酬金
	feeble	5fi:bl	adj.虚弱的, 衰弱的, 无力的, 微弱的, 薄弱的
	feed	fi:d	n.饲养, 饲料, (动物或婴儿的)一餐vt.喂养, 饲养, 放牧, 靠...为生vi.吃东西, 流入
	feedback	5fi:dbAk	n.[无]回授, 反馈, 反应
	feel	fi:l	vt.摸, 触, 试探, 感觉, 觉得, 触摸, 以为vi.有知觉, (人)有某种感觉, 摸索, 同情n.感觉, 觉得, 触摸
	feeling	5fi:liN	n.触觉, 知觉, 感觉, 情绪, 同情adj.富于感情的, 富于同情心的, 衷心的, 有同情心的, 有感觉的, 仁慈的
	fell	fel	vbl.fall 的过去式vt.击倒, 打倒(疾病等), 致于...死地, 砍伐n.一季所伐的木材, 兽皮, 羊毛adj.凶猛的, 可怕的
	fellow	5felEJ	n.人, 家伙, 伙伴, 学会特别会员, 朋友, 同事adj.同伴的, 同事的, 同道的
	fellowship	5felEuFip	n.伙伴关系, 交情, 团体, 奖学金, 友谊
	female	5fi:meil	n.女性, 女人, 雌兽adj.女性的, 女子的, 妇女的, 雌的, 柔弱的, (声, 色)柔和的
	feminine	5feminin	adj.妇女(似)的, 娇柔的, 阴性的, 女性的
	fence	fens	n.栅栏, 围墙, 剑术vt.用篱笆围住, 练习剑术, 防护vi.击剑, 围以栅栏, 跳过栅栏, 搪塞
	ferry	5feri	n.摆渡, 渡船, 渡口vt.渡运, (乘渡船)渡过, 运送vi.摆渡, (船)来往行驶
	fertile	" 5fE:til;5fE:tail;"	adj.肥沃的, 富饶的, 能繁殖的
	fertiliser	5fE:tilaizE	n.<主英>=fertilizer
	fertilizer	5fE:ti7laizE	n.肥料(尤指化学肥料), [动]受精媒介物
	festival	5festEvEl	n.节日, 喜庆日, 音乐节, 戏剧节, 喜庆, 欢宴, 欢乐adj.节日的, 快乐的
	fetch	fetF	vt.接来, 取来, 带来, 售得, 引出, 吸引, 到达, 演绎出vi.取物, 绕道而行n.取得, 拿, 诡计, 魂
	feudal	5fju:dl	adj.世仇的, 封建制度的, 封地的, 领地的
	fever	5fi:vE	n.发烧, 发热, 热病, 狂热, 高度兴奋v.(使)发烧, (使)患热病, (使)狂热
	few	fju:	adj.很少的, 不多的, 少数的n.[表示否定]很少数, 几乎没有
	fiber	5faibE	n.=fibre光纤
	fibre	5faibE	n.纤维, 构造, 纤维制品, [植]须根
	fiction	5fikFEn	n.虚构, 编造, 小说
	field	fi:ld	n.原野, 旷野, 领域, (一块)田地, 牧场, 域, 战场, 运动场vt.把(谷物等)暴晒于场上, 使上场vi.担任场外队员adj.田间的, 野生的, 野外的, 田赛的扫描场
	fierce	fiEs	adj.凶猛的, 猛烈的, 热烈的, 暴躁的<美>极讨厌的, 难受的, <英方>精力旺盛的
	fifteen	5fif5ti:n	adj.十五
	fifty	5fifti	adj.五十
	fight	fait	n.打架, 战斗, 斗志vi.打仗, 搏斗, 对抗, 打架vt.与...打仗, 指挥战斗, 反对...提案
	figure	5fi^E	n.外形, 轮廓, 体形, 图形, 画像, 数字, 形状, 身份vt.描绘, 塑造, 表示, 象征, 演算, 认为vi.出现, 考虑, 出名, 扮演角色
	file	fail	n.文件, 档案, 文件夹, 卷宗, 锉刀vt.把...归档, 提出(申请等), 锉, 琢磨vi.列队行进, 用锉刀锉
	fill	fil	vt.装满, 注满, 充满, 填充, 弥漫, 供应, 供给, 满足vi.充满n.满足, 饱, 充分, 填方v.填充
	film	film	n.薄膜, 膜层, 胶卷, 影片, 薄雾, 轻烟, 电影vt.在...上覆以薄膜, 拍成电影vi.生薄膜, 变成朦胧, 拍电影
	filter	5filtE	n.滤波器, 过滤器, 滤光器, 筛选vt.过滤, 渗透, 用过滤法除去vi.滤过, 渗入, (消息等)走漏, 慢慢传开
	final	5fainEl	n.结局, 决赛, 期末考试, <口>报纸(在一天中)最晚版adj.最后的, 最终的, 决定性的
	finally	5faInElI	adv.最后, 终于, 不可更改地, 决定性地
	finance	fai5nAns, fi-	n.财政, 金融, 财政学vt.供给...经费, 负担经费vi.筹措资金
	financial	fai5nAnFEl, 7fi-	adj.财政的, 金融的
	find	faind	vt.找到, 发现, 感到, 查明, 得到, 认为, 见到...的存在vi.裁决n.发现[计] 在文件中查找指定的字符串
	finding	5faindiN	n.发现, 发现物, 决定, [律]裁决
	fine	fain	adj.美好的, 优良的, 杰出的, 精美的, 杰出的, 细, 纤细, 纯粹n.罚款, 罚金, 晴天, 精细vt.罚款, 精炼, 澄清vi.变清, 变细adv.<口>很好, 妙, [常用于构成复合词]细微地, 精巧地
	finger	5fiN^E	n.手指(尤指大拇指以外的手指), 指状物, 指针v.用手指拨弄, 伸出
	finish	5finiF	n.完成, 结束, 磨光, 末道漆, 完美vt.完成, 结束, 用完, 毁掉, 使完美vi.结束, 终结, 停止, 终止
	finite	5fainait	adj.有限的, [数]有穷的, 限定的
	fire	5faiE	n.火, 炉火, 火灾, 失火, 闪光, 炮火, 热情, 激情vt.点燃, 烧制, 使发光, 给(炉子等)加燃料, 放枪, 激动, <口>解雇vi.开枪, 射击, 着火, 烧火, 激动
	fireman	5faIEmEn	n.救火队员, 消防队员
	fireplace	5faIEpleIs	n.壁炉
	firm	fE:m	n.公司, (合伙)商号adj.结实的, 坚硬的, 坚定的, 坚固的, 牢固的, 稳固的, 严格的vt.使牢固, 使坚定vi.变稳固, 变坚实adv.稳固地, 坚定地
	first	fE:st	adv.首先, 最初, 第一(列举条目等用), 优先adj.第一的num.第一(个)n.开始, 第一, (比赛)冠军
	fish	fiF	n.鱼, 鱼肉, 鱼类, 接合板vt.钓, 钓鱼, 查出, 用接合板连接vi.捕鱼, 钓鱼, 用钩捞取, 间接探听, 拉摸索寻找
	fisherman	5fIFEmEn	n.渔民, 渔夫
	fist	fist	n.拳头, 手, 抓住, 抓牢vt.拳打, 握成拳, 紧握
	fit	fit	n.突然发作, 适合, 痉挛, 一阵adj.合适的, 恰当的, 健康的, ,准备好的vt.适合, 安装, 使合身, 使适应, 使合格vi.适合, 符合
	fitting	5fitiN	adj.适合的, 相称的, 适宜的n.试穿, 试衣, 装配, 装置
	five	faiv	num.五, 五个(人或物)n.五个一组, <口>五厘息金的证券
	fix	fiks	vt.使固定, 装置, 修理, 准备, 安装, 凝视, 整理, 牢记vi.固定, 注视, 决定, 选定, 确定n.困境, 方位, 贿赂
	fixture	5fikstFE	n.固定设备, 预定日期, 比赛时间, [机]装置器, 工作夹具
	flag	flA^	n.旗, 标记v.标记
	flame	fleim	n.火焰, 光辉, 光芒, 热情, 激情
	flap	flAp	n.拍打, 拍打声, 副翼v.拍打, 鼓翼而飞, 飘动, 拉下(帽)的边, 扔, 掷
